1,Pride and Prejudice,Jane Austen,https://www.gutenberg.org/cache/epub/1342/pg1342.txt
2,"Frankenstein; or, the modern prometheus",Mary Wollstonecraft Shelley,https://www.gutenberg.org/cache/epub/84/pg84.txt
3,Alice's Adventures in Wonderland,Lewis Carroll,https://www.gutenberg.org/cache/epub/11/pg11.txt
4,The Adventures of Sherlock Holmes,Arthur Conan Doyle,https://www.gutenberg.org/cache/epub/1661/pg1661.txt
5,Dracula,Bram Stoker,https://www.gutenberg.org/cache/epub/345/pg345.txt
6,"Moby Dick; Or, The Whale",Herman Melville,https://www.gutenberg.org/cache/epub/2701/pg2701.txt
7,A Tale of Two Cities,Charles Dickens,https://www.gutenberg.org/cache/epub/98/pg98.txt
8,Great Expectations,Charles Dickens,https://www.gutenberg.org/cache/epub/1400/pg1400.txt
9,Adventures of Huckleberry Finn,Mark Twain,https://www.gutenberg.org/cache/epub/76/pg76.txt
10,"The Adventures of Tom Sawyer, Complete",Mark Twain,https://www.gutenberg.org/cache/epub/74/pg74.txt
11,Jane Eyre: An Autobiography,Charlotte Brontë,https://www.gutenberg.org/cache/epub/1260/pg1260.txt
12,Wuthering Heights,Emily Brontë,https://www.gutenberg.org/cache/epub/768/pg768.txt
13,Emma,Jane Austen,https://www.gutenberg.org/cache/epub/158/pg158.txt
14,Sense and Sensibility,Jane Austen,https://www.gutenberg.org/cache/epub/161/pg161.txt
15,Persuasion,Jane Austen,https://www.gutenberg.org/cache/epub/105/pg105.txt
16,Mansfield Park,Jane Austen,https://www.gutenberg.org/cache/epub/141/pg141.txt
17,The Count of Monte Cristo,Alexandre Dumas,https://www.gutenberg.org/cache/epub/1184/pg1184.txt
18,Les Misérables,Victor Hugo,https://www.gutenberg.org/cache/epub/135/pg135.txt
19,The Picture of Dorian Gray,Oscar Wilde,https://www.gutenberg.org/cache/epub/174/pg174.txt
20,The Great Gatsby,F. Scott Fitzgerald,https://www.gutenberg.org/cache/epub/64317/pg64317.txt
20,The Great Gatsby,F. Scott Fitzgerald,http://gutenberg.net.au/ebooks02/0200041.txt
21,The War of the Worlds,H. G. Wells,https://www.gutenberg.org/cache/epub/36/pg36.txt
22,The Time Machine,H. G. Wells,https://www.gutenberg.org/cache/epub/35/pg35.txt
23,The Wonderful Wizard of Oz,L. Frank Baum,https://www.gutenberg.org/cache/epub/55/pg55.txt
24,The Yellow Wallpaper,Charlotte Perkins Gilman,https://www.gutenberg.org/cache/epub/1952/pg1952.txt
26,"""-- & Co.""",Jean-Richard Bloch [1884-1947],http://gutenberg.net.au/ebooks03/0300601.txt
27,"""C. I. D."" (1932)",Talbot Mundy,http://gutenberg.net.au/ebooks05/0500281.txt
28,"""In Good King Charles's Golden Days""",George Bernard Shaw,http://gutenberg.net.au/ebooks03/0300441.txt
29,"""Nevada"" (1927)",Zane Grey,http://gutenberg.net.au/ebooks07/0700121.txt
30,"""Nevada"". A Romance of the West.","Grey, Zane (1872-1939)",https://gutenberg.ca/ebooks/greyz-nevada/greyz-nevada-00-t.txt
31,"""Not In The Bill.""",Fred M White,http://gutenberg.net.au/ebooks12/1200721.txt
32,"""Oh, Whistle, and I'll come to you, My Lad""","James, Montague Rhodes (1862-1936)",https://gutenberg.ca/ebooks/jamesmr-ohwhistle/jamesmr-ohwhistle-00-t.txt
33,"""Seven, Seven, Seven--City"" A Tale of the Telephone",Julius Chambers,http://gutenberg.net.au/ebooks06/0600421.txt
34,"30,000 on the Hoof","Grey, Zane (1872-1939)",https://gutenberg.ca/ebooks/greyz-30000onthehoof/greyz-30000onthehoof-00-t.txt
35,"30,000 on the Hoof (1940)",Zane Grey,http://gutenberg.net.au/ebooks06/0608301.txt
36,"A ""Bootless"" Errand",Fred M White,http://gutenberg.net.au/ebooks11/1100271.txt
37,"A ""Burgling"" Incident",Arthur Morrison,http://gutenberg.net.au/ebooks10/1000811.txt
38,A Backblocker's Pleasure Trip,Edward S. Sorenson,http://gutenberg.net.au/ebooks14/1401641.txt
39,A Backward Glance,Edith Wharton,http://gutenberg.net.au/ebooks02/0200271.txt
40,A Bid for Fortune or Dr. Nikola's Vendetta,Guy Boothby,http://gutenberg.net.au/ebooks06/0601591.txt
41,A Book of Escapes and Hurried Journeys,"Buchan, John (1875-1940)",https://gutenberg.ca/ebooks/buchanj-bookofescapes/buchanj-bookofescapes-00-t.txt
